"timeMillisSpent","score","initialized"
55,"0hard/-108938soft","true"
96,"0hard/-108862soft","true"
169,"0hard/-108801soft","true"
201,"0hard/-108531soft","true"
2377,"0hard/-108284soft","true"
2433,"0hard/-107642soft","true"
2436,"0hard/-107599soft","true"
2462,"0hard/-106671soft","true"
4772,"0hard/-106646soft","true"
4783,"0hard/-106553soft","true"
6068,"0hard/-106469soft","true"
6547,"0hard/-105951soft","true"
7904,"0hard/-105722soft","true"
8461,"0hard/-105600soft","true"
9860,"0hard/-105469soft","true"
