"timeMillisSpent","score","initialized"
146,"0hard/-118748soft","true"
464,"0hard/-118585soft","true"
733,"0hard/-118512soft","true"
775,"0hard/-117850soft","true"
816,"0hard/-117796soft","true"
1246,"0hard/-117699soft","true"
1293,"0hard/-117694soft","true"
2093,"0hard/-117680soft","true"
2189,"0hard/-117660soft","true"
4687,"0hard/-117612soft","true"
4732,"0hard/-117607soft","true"
4778,"0hard/-117373soft","true"
4824,"0hard/-117324soft","true"
5070,"0hard/-117320soft","true"
5119,"0hard/-117284soft","true"
7815,"0hard/-117212soft","true"
7879,"0hard/-117097soft","true"
7933,"0hard/-117061soft","true"
8032,"0hard/-117022soft","true"
8469,"0hard/-116959soft","true"
8521,"0hard/-116930soft","true"
8576,"0hard/-116892soft","true"
8624,"0hard/-116884soft","true"
8672,"0hard/-116775soft","true"
