"timeMillisSpent","score","initialized"
53,"0hard/-100580soft","true"
9094,"0hard/-100569soft","true"
9233,"0hard/-100458soft","true"
9243,"0hard/-100430soft","true"
9249,"0hard/-100338soft","true"
9252,"0hard/-100270soft","true"
9261,"0hard/-100191soft","true"
9614,"0hard/-100175soft","true"
9616,"0hard/-99987soft","true"
9641,"0hard/-99939soft","true"
9672,"0hard/-99922soft","true"
9675,"0hard/-99863soft","true"
9760,"0hard/-99862soft","true"
9828,"0hard/-99608soft","true"
9858,"0hard/-99379soft","true"
9879,"0hard/-99343soft","true"
9926,"0hard/-99340soft","true"
