"timeMillisSpent","score","initialized"
1111,"-221679hard/-131580soft","true"
1140,"-221570hard/-131441soft","true"
1533,"-221526hard/-131385soft","true"
2163,"-221475hard/-131320soft","true"
2755,"-221052hard/-130779soft","true"
2998,"-220994hard/-130705soft","true"
3136,"-220709hard/-130341soft","true"
3593,"-220672hard/-130293soft","true"
3605,"-220519hard/-130098soft","true"
4649,"-220460hard/-130023soft","true"
4765,"-220459hard/-130021soft","true"
4778,"-220443hard/-130001soft","true"
6335,"-220284hard/-129798soft","true"
6343,"-220234hard/-129734soft","true"
8795,"-220115hard/-129582soft","true"
9122,"-220041hard/-129488soft","true"
9255,"-220032hard/-129476soft","true"
9410,"-220029hard/-129472soft","true"
9433,"-220026hard/-129468soft","true"
9831,"-219954hard/-129377soft","true"
