"timeMillisSpent","score","initialized"
1755,"-1600000hard/-63035727medium/-116127000soft","true"
1758,"-1600000hard/-63011727medium/-116127000soft","true"
1799,"-1600000hard/-62984727medium/-116127000soft","true"
2512,"-1600000hard/-62982268medium/-116133541soft","true"
3425,"-1600000hard/-62979619medium/-116130892soft","true"
3429,"-1600000hard/-62976041medium/-116127314soft","true"
3430,"-1600000hard/-62895041medium/-116127314soft","true"
3472,"-1600000hard/-62864152medium/-116129425soft","true"
3473,"-1600000hard/-62840152medium/-116129425soft","true"
3587,"-1600000hard/-62834152medium/-116129425soft","true"
4033,"-1600000hard/-62819445medium/-116129718soft","true"
