"timeMillisSpent","score","initialized"
265,"-800000hard/-4841267medium/-9870300soft","true"
269,"-800000hard/-4838267medium/-9870300soft","true"
7200,"-800000hard/-4829292medium/-9876325soft","true"
7203,"-800000hard/-4823292medium/-9876325soft","true"
7217,"-800000hard/-4820292medium/-9876325soft","true"
7223,"-800000hard/-4810502medium/-9872535soft","true"
7226,"-800000hard/-4810480medium/-9872513soft","true"
7887,"-800000hard/-4809968medium/-9870300soft","true"
7889,"-800000hard/-4796267medium/-9870300soft","true"
8111,"-800000hard/-4793843medium/-9870876soft","true"
8531,"-800000hard/-4793060medium/-9871392soft","true"
8547,"-800000hard/-4790060medium/-9871392soft","true"
8590,"-800000hard/-4787060medium/-9871392soft","true"
8616,"-800000hard/-4785968medium/-9870300soft","true"
8644,"-800000hard/-4782968medium/-9870300soft","true"
8714,"-800000hard/-4780016medium/-9870348soft","true"
8973,"-800000hard/-4779968medium/-9870300soft","true"
